"İKİNCİ BÖLÜM EĞİTİM, ÖĞRETİM VE BİLİM HİZMET KOLUNA İLİŞKİN TOPLU SÖZLEŞME -",-k-nc-b-l-m-e-t-m-ret-m-ve-b-l-m-h-zmet-koluna-l-k-n-toplu-s-zle-me,Turkey,tr,
ALTINCI BÖLÜM KÜLTÜR VE SANAT HİZMET KOLUNA İLİŞKİN TOPLU SÖZLEŞME -,altinci-b-l-m-k-lt-r-ve-sanat-h-zmet-koluna-l-k-n-toplu-s-zle-me,Turkey,tr,
TUR British Council Eğitim Hizmetleri Limited - 2019,british-council-e-t-m-h-zmetler-l-m-ted-rket-letme-toplu-s-zle-mes---2019,Turkey,tr,2019
ARAS KARGO YURT İÇİ YURT DIŞI TAŞIMACILIK A.Ş. TÜM TAŞIMA İŞÇİLERİ SENDİKASI (TÜMTİS) TOPLU İŞ SÖZLEŞMESİ - 2018 - 2018,aras-kargo-yurt-yurt-di-i-ta-imacilik-a-t-m-ta-ima-ler-send-kasi-t-mt-s-toplu-s-zle-mes---2018,Turkey,tr,2018
DOKUZUNCU BÖLÜM TARIM VE ORMANCILIK HİZMET KOLUNA İLİŞKİN TOPLU SÖZLEŞME -,dokuzuncu-b-l-m-tarim-ve-ormancilik-h-zmet-koluna-l-k-n-toplu-s-zle-me,Turkey,tr,
PUBLIC SERVICE STABILITY AGREEMENT - 2018 – 2020 - 2018,public-service-stability-agreement---2018-2020,Ireland,en,2018
"Enel Global Framework Agreement, Roma, 14 giugno 2013 - 2013",enel-global-framework-agreement-roma-14-giugno-2013,Italy,it,2013
"ACCORDO QUADRO GLOBALE SULLE RELAZIONI INDUSTRIALI A LIVELLO INTERNAZIONALE E SULLA RESPONSABILITÀ SOCIALE DELL'IMPRESA di ENI S.p.A, 2019 - 2019",accordo-quadro-globale-sulle-relazioni-industriali-a-livello-internazionale-e-sulla-responsabilit-sociale-dell-impresa-di-eni-s-p-a-2019,Italy,it,2019
ccnl per i dipendenti da aziende del terziario della distribuzione e dei servizi 2019 - 2015,ccnl-per-i-dipendenti-da-aziende-del-terziario-della-distribuzione-e-dei-servizi-2019,Italy,it,2015
"UniCredit Joint declaration on “work-life balance”, 2017 - 2017",unicredit-joint-declaration-on-work-life-balance-2017,Italy,en,2017
ccnl-per-il-personale-dipendente-da-societ-e-consorzi-concessionari-di-autostrade-e-trafori-2016 - 2016,ccnl-per-il-personale-dipendente-da-societ-e-consorzi-concessionari-di-autostrade-e-trafori-2016,Italy,it,2016
ccnl per i dipendenti delle imprese di viaggi e turismo 2019-2020 - 2019,ccnl-per-i-dipendenti-delle-imprese-di-viaggi-e-turismo-2019-2020,Italy,it,2019
ccnl-per-i-dipendenti-dell-industria-cineaudiovisiva-2018-2021 - 2018,ccnl-per-i-dipendenti-dell-industria-cineaudiovisiva-2018-2021,Italy,it,2018
"ccnl logistica, trasporto merci e spedizione 2013-2015 - 2013",ccnl-logistica-trasporto-merci-e-spedizione-2013-2015,Italy,it,2013
"CONVENZIONE EUROPEA SU SALUTE E SICUREZZA DEL GRUPPO BARILLA, 2017 - 2017",convenzione-europea-su-salute-e-sicurezza-del-gruppo-barilla-2017,Italy,it,2017
"Generali promotes Telework: between Assicurazioni Generali S.p.A. and the European Works Council of the Generali Group, 2017 - 2017",generali-promotes-telework-between-assicurazioni-generali-s-p-a-and-the-european-works-council-of-the-generali-group-2017,Italy,en,2017
