cba,language,readability,diveristy,accessibility
tarifvertr-ge-gro---und-au-enhandel-nordrhein-westfalen,de,4.0,2.25,3.0
retail-nordrhein-westfalen-2013,de,4.67,2.75,3.57
accord-valeo-sur-la-responsabilite-sociale-2012,fr,1.0,3.75,2.57
air-france-klm-social-rights-and-ethics-charter-2013,en,2.0,2.5,2.25
engagement-conjoint-sodexo-uita-pour-la-pr-vention-du-harc-lement-sexuel-annexe-raccord-cadre-international-sodexo-uita-du-12-d-cembre-2017,fr,1.0,3.25,2.29
accord-cadre-mondial-de-responsabilit-sociale-soci-tale-et-environnementale-entre-le-groupe-renault-le-comit-de-groupe-renault-et-industriall-global-union-2013,fr,1.0,3.75,2.57
auchan-retail-international-et-uni-global-union-accord-sur-la-responsabilit-sociale-et-environnementale-2017,fr,1.0,3.0,2.14
convention-collective-nationale-du-commerce-de-d-tail-et-de-gros-pr-dominance-alimentaire-du-12-juillet-2001-etendue-par-arr-t-du-26-juillet-2002-jorf-6-ao-t-2002-,fr,2.67,3.0,2.86
convention-collective-nationale-de-commerces-de-gros-du-23-juin-1970-etendue-par-arr-t-du-15-juin-1972-jonc-29-ao-t-1972-mise-jour-par-accord-du-27-septembre-1984-tendu-par-arr-t-du-4-f-vrier-1985-jorf-16-f-vrier-1985-,fr,4.0,2.25,3.0
convention-collective-nationale-de-la-charcuterie-de-d-tail-du-4-avril-2007,fr,4.33,2.25,3.14
convention-collective-nationale-des-entreprises-de-vente-distance-du-6-f-vrier-2001,fr,3.67,2.75,3.14
convention-collective-nationale-de-la-librairie-du-24-mars-2011,fr,3.67,2.25,2.86
convention-collective-nationale-du-commerce-de-d-tail-de-l-habillement-et-des-articles-textiles-du-25-novembre-1987-r-vis-par-avenant-du-17-juin-2004,fr,4.67,2.25,3.29
convention-collective-nationale-du-personnel-des-agents-immobiliers-et-mandataires-en-vente-de-fonds-de-commerce-du-8-d-cembre-1971-etendue-par-arr-t-du-18-octobre-1973-jorf-25-f-vrier-1974-,fr,1.67,2.75,2.29
convention-collective-nationale-des-employ-s-et-agents-de-ma-trise-des-commerces-de-quincaillerie-fournitures-industrielles-fers-m-taux-et-quipement-de-la-maison-etendue-par-arr-t-du-29-avril-1986-jorf-1er-juin-1986-,fr,2.0,3.0,2.57
convention-collective-nationale-des-commerces-de-d-tail-non-alimentaires-antiquit-s-brocante-galeries-d-art-oeuvres-d-art-arts-de-la-table-coutellerie-droguerie-quipement-du-foyer-bazars-commerces-m-nagers-mod-lisme-jeux-jouets-pu-rinatalit-et-maroquinerie-du-9-mai-2012-avenant-du-9-mai-2012-,fr,2.0,3.25,2.71
